DATE,Average Wage Per Hour,Average Hours Worked a Month,Average Monthly Income,Unemployment Average Income Monthly,2022 Yearly Income,2023 Yearly Income
1/1/2022,23.65,131.6,3112.3399999999997,968.82,33430.292,30134.551999999996
2/1/2022,24.71,130.0,3212.3,939.09, , 
3/1/2022,23.65,127.2,3008.2799999999997,936.02, , 
4/1/2022,23.89,126.8,3029.252,944.26, , 
5/1/2022,24.17,130.4,3151.7680000000005,972.65, , 
6/1/2022,23.54,126.8,2984.872,943.23, , 
7/1/2022,23.17,130.8,3030.6360000000004,951.86, , 
8/1/2022,23.19,132.8,3079.6320000000005,953.9, , 
9/1/2022,23.33,130.8,3051.564,960.84, , 
10/1/2022,22.89,127.2,2911.608,998.28, , 
11/1/2022,23.35,122.4,2858.0400000000004,967.44, , 
12/1/2022,22.44,125.6,2818.464,963.26, , 
1/1/2023,22.38,127.2,2846.736,972.3, , 
2/1/2023,22.39,124.0,2776.36,943.44, , 
3/1/2023,21.99,129.6,2849.9039999999995,936.52, , 
4/1/2023,21.99,128.4,2823.516,961.02, , 
5/1/2023,21.43,125.6,2691.6079999999997,932.86, , 
6/1/2023,21.05,127.6,2685.98,944.71, , 
7/1/2023,21.27,128.0,2722.56,982.75, , 
8/1/2023,21.36,129.6,2768.256,954.96, , 
9/1/2023,21.44,124.8,2675.712,954.24, , 
10/1/2023,21.3,126.8,2700.84,987.88, , 
11/1/2023,20.58,126.0,2593.08,961.27, , 
12/1/2023,20.16,126.0,2540.16,978.33, , 
1/1/2024,21.13,124.8,2637.024,961.95, , 
2/1/2024,21.18,126.8,2685.624,972.25, , 
3/1/2024,,,,, , 
4/1/2024,,,,, , 
5/1/2024,,,,, , 
6/1/2024,,,,, , 
7/1/2024,,,,, , 
8/1/2024,,,,, , 
9/1/2024,,,,, , 
10/1/2024,,,,, , 
11/1/2024,,,,, , 
12/1/2024,,,,, , 
